period,group,deaths,fitted_long,counterfactual_long,post,fitted_main,counterfactual_main,group_label
2016-09-01,motorway_dual,46.0,47.503660266195574,47.503660266195574,False,45.35608934538167,45.35608934538167,Motorways and dual carriageways
2016-10-01,motorway_dual,45.0,48.33023367921961,48.33023367921961,False,49.30009711454513,49.30009711454513,Motorways and dual carriageways
2016-11-01,motorway_dual,37.0,40.258987410858275,40.258987410858275,False,41.308291898082075,41.308291898082075,Motorways and dual carriageways
2016-12-01,motorway_dual,38.0,44.78083019975821,44.78083019975821,False,43.487875138935586,43.487875138935586,Motorways and dual carriageways
2017-01-01,motorway_dual,25.0,36.94657642135737,36.94657642135737,False,36.843595379403055,36.843595379403055,Motorways and dual carriageways
2017-02-01,motorway_dual,39.0,36.80127391901799,36.80127391901799,False,38.52870998962519,38.52870998962519,Motorways and dual carriageways
2017-03-01,motorway_dual,37.0,40.87788309810231,40.87788309810231,False,42.517841594069665,42.517841594069665,Motorways and dual carriageways
2017-04-01,motorway_dual,27.0,39.45250236740823,39.45250236740823,False,38.11944418778663,38.11944418778663,Motorways and dual carriageways
2017-05-01,motorway_dual,32.0,41.33604119010946,41.33604119010946,False,39.166681665472936,39.166681665472936,Motorways and dual carriageways
2017-06-01,motorway_dual,58.0,46.73212538487658,46.73212538487658,False,46.078449018203365,46.078449018203365,Motorways and dual carriageways
2017-07-01,motorway_dual,57.0,55.5165308278238,55.5165308278238,False,56.131928803993205,56.131928803993205,Motorways and dual carriageways
2017-08-01,motorway_dual,37.0,52.15631975140196,52.15631975140196,False,52.36187388432194,52.36187388432194,Motorways and dual carriageways
2017-09-01,motorway_dual,37.0,47.57864089366844,47.57864089366844,False,45.764277774897195,45.764277774897195,Motorways and dual carriageways
2017-10-01,motorway_dual,70.0,48.40651898495965,48.40651898495965,False,49.74378019010548,49.74378019010548,Motorways and dual carriageways
2017-11-01,motorway_dual,50.0,40.32253291704817,40.32253291704817,False,41.68005161192003,41.68005161192003,Motorways and dual carriageways
2017-12-01,motorway_dual,49.0,44.85151306352741,44.85151306352741,False,43.87925031506145,43.87925031506145,Motorways and dual carriageways
2018-01-01,motorway_dual,46.0,37.004893558763705,37.004893558763705,False,37.17517443643118,37.17517443643118,Motorways and dual carriageways
2018-02-01,motorway_dual,41.0,36.85936170835435,36.85936170835435,False,38.8754544697801,38.8754544697801,Motorways and dual carriageways
