band,residents,year,licence_holders,driver_deaths,driver_hospitalised,drivers_involved,licence_share,travel_share,travel_share_low,travel_share_high,esra_national_share,travel_capped,travel_weighted_drivers,travel_weighted_drivers_low,travel_weighted_drivers_high,deaths_per_million_residents,deaths_per_million_residents_low,deaths_per_million_residents_high,deaths_per_100k_licence,deaths_per_100k_licence_low,deaths_per_100k_licence_high,deaths_per_100k_travel,deaths_per_100k_travel_low,deaths_per_100k_travel_high,involved_per_10k_licence,involved_per_10k_licence_low,involved_per_10k_licence_high,deaths_per_1k_involved,deaths_per_1k_involved_low,deaths_per_1k_involved_high,sex
55-64,5982709,2018,4630376,162.0,756.0,20070.0,0.773959756357864,0.6425435617237518,0.620751870592993,0.6622921247105217,0.802,False,3844151.1496167458,3713777.8029635344,3962301.05513476,27.078034382083434,23.068806564914528,31.58375691954556,3.4986359639044435,2.980620939966284,4.080800927967351,4.214194335624682,3.4831769402357864,5.087984171416861,43.34421221948282,42.74659974881096,43.94809030759609,8.071748878923767,6.8766296290569615,9.41486929628189,total
65-74,4541900,2018,2763830,110.0,377.0,8834.0,0.6085184614368436,0.20346693080216555,0.19656640486822036,0.20972048268258864,0.802,False,924126.4530103557,892784.9542709701,952529.4602960494,24.218939210462583,19.905022587990864,29.19037121619242,3.979984297152864,3.271063057148801,4.796957375338727,11.903132914513307,9.491215323072215,14.850132318267647,31.962892073680365,31.29980212998673,32.63649176939207,12.451890423364274,10.233939562191047,15.00789529395793,total
75+,4430750,2018,1411782,96.0,196.0,4336.0,0.3186327371212549,0.20346693080216552,0.1965664048682203,0.20972048268258858,0.802,False,901511.1036516948,870936.5983698671,929219.0286458794,21.66676070642668,17.55014573491947,26.458823223907576,6.799916701020413,5.507954359454537,8.303862140141218,10.648787309567101,8.368350821260302,13.46050116836892,30.71295709960886,29.80551835560098,31.641002115193892,22.140221402214024,17.933650418587284,27.036999769217825,total
15-24,4655877,2019,1696837,111.0,740.0,22751.0,0.36445056430829254,0.36445056430829254,0.36445056430829254,0.36445056430829254,0.7934,True,1696837.0000000002,1696837.0000000002,1696837.0000000002,23.84083600146653,19.612487157667708,28.71051627663181,6.541582956995869,5.381384768848184,7.8777532780400055,6.541582956995868,5.381384768848183,7.877753278040005,134.07887734649822,132.34222499734813,135.83262501430417,4.878906421695749,4.013596231821918,5.8754618430177,total
25-34,5364584,2019,4052622,187.0,1112.0,38436.0,0.7554401235957905,0.7554401235957905,0.7554401235957905,0.7554401235957905,0.7934,True,4052622.0,4052622.0,4052622.0,34.858248095285674,30.040958494634353,40.22827007965956,4.614296620805,3.9766167504637626,5.325143426083667,4.614296620805,3.9766167504637626,5.325143426083667,94.84230209479198,93.89648257886246,95.79527574679182,4.865230513060673,4.192872444712758,5.6147344681293685,total
35-44,7418148,2019,6085970,209.0,1190.0,41757.0,0.8204163626824377,0.8204163626824377,0.8204163626824377,0.8204163626824377,0.7934,True,6085970.0,6085970.0,6085970.0,28.174148048812185,24.483717411106547,32.26378733041352,3.4341280026027077,2.98430388821774,3.932611390748433,3.4341280026027077,2.98430388821774,3.9326113907484324,68.61190574386663,67.95537699372203,69.27319807042728,5.0051488373206885,4.349542336512805,5.731674915763402,total
45-54,7504228,2019,6237070,247.0,1234.0,36181.0,0.8311407915644354,0.8311407915644354,0.809447305052502,0.8311407915644354,0.7934,True,6237070.0,6074277.131099527,6237070.0,32.91477817571641,28.937627921062454,37.2858488425168,3.960192846961795,3.48167581410532,4.486105028287035,3.960192846961795,3.4816758141053197,4.606334298697601,58.00961028175088,57.41339659540648,58.61047271200263,6.826787540421769,6.001894853619819,7.733382462833592,total
55-64,6168889,2019,4847637,176.0,763.0,21076.0,0.7858201047222604,0.6377118755420272,0.615849616540207,0.6575243901532093,0.7934,False,3933973.774200581,3799107.9251291007,4056194.977647841,28.530258852120696,24.47083291515444,33.070700653526515,3.6306348845839733,3.1140502473913405,4.208431478756197,4.473847821615557,3.7216616267957012,5.3699311918573605,43.47685274289309,42.89184417458694,44.06784577266085,8.35073068893528,7.1625475418074664,9.679705896936447,total
65-74,4603380,2019,2874630,105.0,359.0,8917.0,0.6244607223388032,0.20193693592468615,0.19501406406901134,0.20821073863558062,0.7934,False,929592.4520969817,897723.8422540054,958473.1500202591,22.809327059682232,18.65576974316223,27.61208109450791,3.6526439924442453,2.987500906908999,4.421748255213222,11.295272435048306,8.96004205422582,14.159020389799469,31.019644267262223,30.379109052868078,31.670283976145665,11.77526073791634,9.630996671557492,14.25467106300727,total
75+,4522424,2019,1510616,100.0,186.0,4693.0,0.3340279460749368,0.20193693592468615,0.19501406406901134,0.20821073863558062,0.7934,False,913244.4455122629,881936.2836832346,941617.241463277,22.11203549247041,17.991234623494645,26.894159811735122,6.619816022073115,5.386146529026777,8.05146998260487,10.949970787274525,8.640877382882579,13.790882180793814,31.066796591589128,30.184251896382026,31.968595561398313,21.308331557639036,17.337309024275118,25.91664048421615,total
