COD_PROVINCIA|IND_SEXO|EDAD|NUM_PERMISOS|NUM_LICENCIAS|NUM_LICENCIAS_PERMISOS|NUM_PERMISOS_A|NUM_PERMISOS_B|NUM_PERMISOS_C|NUM_PERMISOS_D|NUM_PERMISOS_LCM|NUM_PERMISOS_LVA
08|V|45 a 49 años|212820|0|212820|110802|206947|17665|6209|0|0
08|V|50 a 54 años|210031|1|210031|119427|202748|20264|8779|0|1
08|V|55 a 59 años|183510|0|183510|99041|177210|18449|8648|0|0
08|V|60 a 64 años|152472|0|152472|86531|147295|17223|7373|0|0
08|V|65 a 69 años|126901|3|126901|67579|123039|8280|3416|0|3
08|V|70 a 74 años|100666|2|100666|48176|97405|3201|1447|0|2
08|V|Más de 74 años|156834|2|156835|93333|140174|1872|719|1|1
09|M|15 a 17 años|20|0|20|20|0|0|0|0|0
09|M|18 a 20 años|967|0|967|50|952|0|0|0|0
09|M|21 a 24 años|3639|0|3639|118|3636|6|0|0|0
09|M|25 a 29 años|5503|0|5503|175|5496|21|5|0|0
09|M|30 a 34 años|6106|0|6106|357|6099|29|10|0|0
09|M|35 a 39 años|7686|0|7686|584|7679|66|20|0|0
09|M|40 a 44 años|9079|0|9079|811|9065|104|42|0|0
09|M|45 a 49 años|11094|0|11094|1064|11055|128|56|0|0
09|M|50 a 54 años|10878|0|10878|1187|10806|83|47|0|0
09|M|55 a 59 años|10393|0|10393|860|10321|60|35|0|0
09|M|60 a 64 años|9044|0|9044|620|8958|40|24|0|0
09|M|65 a 69 años|6760|0|6760|443|6677|14|6|0|0
09|M|70 a 74 años|3897|0|3897|259|3815|1|1|0|0
09|M|Más de 74 años|2731|0|2731|435|2461|2|1|0|0
09|V|15 a 17 años|157|10|166|157|0|0|0|0|10
09|V|18 a 20 años|1864|2|1866|290|1807|0|0|0|2
09|V|21 a 24 años|4704|0|4704|519|4687|78|0|0|0
09|V|25 a 29 años|6893|0|6893|1052|6866|318|23|0|0
09|V|30 a 34 años|7730|0|7730|1842|7705|502|60|0|0
09|V|35 a 39 años|8888|1|8888|2675|8862|962|149|0|1
09|V|40 a 44 años|10636|2|10637|3574|10588|1470|289|0|2
09|V|45 a 49 años|13207|0|13207|4679|13102|2095|570|0|0
09|V|50 a 54 años|13317|1|13317|4738|13181|2471|1101|0|1
09|V|55 a 59 años|13093|1|13093|4083|12949|2360|1276|0|1
09|V|60 a 64 años|12504|2|12504|4144|12324|2252|1092|0|2
09|V|65 a 69 años|11329|5|11330|4021|11117|901|374|0|5
09|V|70 a 74 años|9062|4|9062|3597|8772|244|99|0|4
09|V|Más de 74 años|14531|22|14531|9332|11685|80|28|0|22
10|M|15 a 17 años|55|0|55|55|0|0|0|0|0
10|M|18 a 20 años|1662|0|1662|91|1629|0|0|0|0
10|M|21 a 24 años|5057|0|5057|139|5054|16|1|0|0
10|M|25 a 29 años|7328|0|7328|282|7327|42|7|0|0
10|M|30 a 34 años|8871|0|8871|874|8865|78|7|0|0
10|M|35 a 39 años|10132|0|10132|1038|10122|81|23|0|0
10|M|40 a 44 años|10805|0|10805|1529|10786|88|42|0|0
10|M|45 a 49 años|11699|0|11699|1676|11633|66|30|0|0
