province,age_group,sex,reference,year,Periodo,population
05 Ávila,De 35 a 39 años,Hombres,1 January,2002,1 de enero de 2002,6123
05 Ávila,De 35 a 39 años,Mujeres,1 January,2002,1 de enero de 2002,5827
05 Ávila,De 35 a 39 años,Total,1 January,2002,1 de enero de 2002,11949
05 Ávila,De 40 a 44 años,Hombres,1 January,2002,1 de enero de 2002,6246
05 Ávila,De 40 a 44 años,Mujeres,1 January,2002,1 de enero de 2002,5563
05 Ávila,De 40 a 44 años,Total,1 January,2002,1 de enero de 2002,11809
05 Ávila,De 45 a 49 años,Hombres,1 January,2002,1 de enero de 2002,5450
05 Ávila,De 45 a 49 años,Mujeres,1 January,2002,1 de enero de 2002,4424
05 Ávila,De 45 a 49 años,Total,1 January,2002,1 de enero de 2002,9874
05 Ávila,De 5 a 9 años,Hombres,1 January,2002,1 de enero de 2002,3452
05 Ávila,De 5 a 9 años,Mujeres,1 January,2002,1 de enero de 2002,3268
05 Ávila,De 5 a 9 años,Total,1 January,2002,1 de enero de 2002,6720
05 Ávila,De 50 a 54 años,Hombres,1 January,2002,1 de enero de 2002,4882
05 Ávila,De 50 a 54 años,Mujeres,1 January,2002,1 de enero de 2002,4268
05 Ávila,De 50 a 54 años,Total,1 January,2002,1 de enero de 2002,9150
05 Ávila,De 55 a 59 años,Hombres,1 January,2002,1 de enero de 2002,4444
05 Ávila,De 55 a 59 años,Mujeres,1 January,2002,1 de enero de 2002,4279
05 Ávila,De 55 a 59 años,Total,1 January,2002,1 de enero de 2002,8723
05 Ávila,De 60 a 64 años,Hombres,1 January,2002,1 de enero de 2002,3982
05 Ávila,De 60 a 64 años,Mujeres,1 January,2002,1 de enero de 2002,4082
05 Ávila,De 60 a 64 años,Total,1 January,2002,1 de enero de 2002,8064
05 Ávila,De 65 a 69 años,Hombres,1 January,2002,1 de enero de 2002,5291
05 Ávila,De 65 a 69 años,Mujeres,1 January,2002,1 de enero de 2002,5520
05 Ávila,De 65 a 69 años,Total,1 January,2002,1 de enero de 2002,10811
05 Ávila,De 70 a 74 años,Hombres,1 January,2002,1 de enero de 2002,5034
05 Ávila,De 70 a 74 años,Mujeres,1 January,2002,1 de enero de 2002,5615
05 Ávila,De 70 a 74 años,Total,1 January,2002,1 de enero de 2002,10649
05 Ávila,De 75 a 79 años,Hombres,1 January,2002,1 de enero de 2002,4193
05 Ávila,De 75 a 79 años,Mujeres,1 January,2002,1 de enero de 2002,5269
05 Ávila,De 75 a 79 años,Total,1 January,2002,1 de enero de 2002,9462
05 Ávila,De 80 a 84 años,Hombres,1 January,2002,1 de enero de 2002,2408
05 Ávila,De 80 a 84 años,Mujeres,1 January,2002,1 de enero de 2002,3515
05 Ávila,De 80 a 84 años,Total,1 January,2002,1 de enero de 2002,5924
05 Ávila,De 85 a 89 años,Hombres,1 January,2002,1 de enero de 2002,1270
05 Ávila,De 85 a 89 años,Mujeres,1 January,2002,1 de enero de 2002,2143
05 Ávila,De 85 a 89 años,Total,1 January,2002,1 de enero de 2002,3414
05 Ávila,Todas las edades,Hombres,1 January,2002,1 de enero de 2002,81717
05 Ávila,Todas las edades,Mujeres,1 January,2002,1 de enero de 2002,81487
05 Ávila,Todas las edades,Total,1 January,2002,1 de enero de 2002,163204
06 Badajoz,90 y más años,Hombres,1 January,2002,1 de enero de 2002,1014
06 Badajoz,90 y más años,Mujeres,1 January,2002,1 de enero de 2002,2695
06 Badajoz,90 y más años,Total,1 January,2002,1 de enero de 2002,3708
06 Badajoz,De 0 a 4 años,Hombres,1 January,2002,1 de enero de 2002,16825
06 Badajoz,De 0 a 4 años,Mujeres,1 January,2002,1 de enero de 2002,16122
06 Badajoz,De 0 a 4 años,Total,1 January,2002,1 de enero de 2002,32947
06 Badajoz,De 10 a 14 años,Hombres,1 January,2002,1 de enero de 2002,21794
06 Badajoz,De 10 a 14 años,Mujeres,1 January,2002,1 de enero de 2002,20417
06 Badajoz,De 10 a 14 años,Total,1 January,2002,1 de enero de 2002,42211
06 Badajoz,De 15 a 19 años,Hombres,1 January,2002,1 de enero de 2002,23261
06 Badajoz,De 15 a 19 años,Mujeres,1 January,2002,1 de enero de 2002,21740
06 Badajoz,De 15 a 19 años,Total,1 January,2002,1 de enero de 2002,45001
06 Badajoz,De 20 a 24 años,Hombres,1 January,2002,1 de enero de 2002,24963
06 Badajoz,De 20 a 24 años,Mujeres,1 January,2002,1 de enero de 2002,24264
06 Badajoz,De 20 a 24 años,Total,1 January,2002,1 de enero de 2002,49227
06 Badajoz,De 25 a 29 años,Hombres,1 January,2002,1 de enero de 2002,25605
06 Badajoz,De 25 a 29 años,Mujeres,1 January,2002,1 de enero de 2002,24450
06 Badajoz,De 25 a 29 años,Total,1 January,2002,1 de enero de 2002,50055
06 Badajoz,De 30 a 34 años,Hombres,1 January,2002,1 de enero de 2002,25303
06 Badajoz,De 30 a 34 años,Mujeres,1 January,2002,1 de enero de 2002,25068
06 Badajoz,De 30 a 34 años,Total,1 January,2002,1 de enero de 2002,50371
06 Badajoz,De 35 a 39 años,Hombres,1 January,2002,1 de enero de 2002,26495
06 Badajoz,De 35 a 39 años,Mujeres,1 January,2002,1 de enero de 2002,25573
06 Badajoz,De 35 a 39 años,Total,1 January,2002,1 de enero de 2002,52069
06 Badajoz,De 40 a 44 años,Hombres,1 January,2002,1 de enero de 2002,24355
